"C02414V02915","Sector","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"30","Office machinery and computers (NACE 30)","2002","2002","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"30","Office machinery and computers (NACE 30)","2002","2002","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","95.57"
"30","Office machinery and computers (NACE 30)","2003","2003","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","84.17"
"30","Office machinery and computers (NACE 30)","2003","2003","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"30","Office machinery and computers (NACE 30)","2003","2003","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"30","Office machinery and computers (NACE 30)","2003","2003","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","86.8"
"30","Office machinery and computers (NACE 30)","2004","2004","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","62.25"
"30","Office machinery and computers (NACE 30)","2004","2004","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"30","Office machinery and computers (NACE 30)","2004","2004","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"30","Office machinery and computers (NACE 30)","2004","2004","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","64.05"
"30","Office machinery and computers (NACE 30)","2005","2005","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","62.88"
"30","Office machinery and computers (NACE 30)","2005","2005","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"30","Office machinery and computers (NACE 30)","2005","2005","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"30","Office machinery and computers (NACE 30)","2005","2005","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","64.72"
"30","Office machinery and computers (NACE 30)","2006","2006","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","56.05"
"30","Office machinery and computers (NACE 30)","2006","2006","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"30","Office machinery and computers (NACE 30)","2006","2006","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"30","Office machinery and computers (NACE 30)","2006","2006","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57.72"
"30","Office machinery and computers (NACE 30)","2007","2007","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","57.41"
"30","Office machinery and computers (NACE 30)","2007","2007","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"30","Office machinery and computers (NACE 30)","2007","2007","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"30","Office machinery and computers (NACE 30)","2007","2007","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","58.92"
"45","All construction (NACE 45)","1994","1994","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","25.1"
"45","All construction (NACE 45)","1994","1994","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"45","All construction (NACE 45)","1994","1994","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","1994","1994","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","26.1"
"45","All construction (NACE 45)","1995","1995","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","33.5"
"45","All construction (NACE 45)","1995","1995","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"45","All construction (NACE 45)","1995","1995","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","1995","1995","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","34.8"
"45","All construction (NACE 45)","1996","1996","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","36.9"
"45","All construction (NACE 45)","1996","1996","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"45","All construction (NACE 45)","1996","1996","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","1996","1996","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","38.3"
"45","All construction (NACE 45)","1997","1997","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","42.5"
"45","All construction (NACE 45)","1997","1997","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"45","All construction (NACE 45)","1997","1997","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0"
"45","All construction (NACE 45)","1997","1997","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","44.1"
"45","All construction (NACE 45)","1998","1998","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","39.88"
"45","All construction (NACE 45)","1998","1998","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"45","All construction (NACE 45)","1998","1998","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","1998","1998","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","41.71"
"45","All construction (NACE 45)","1999","1999","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","40.27"
"45","All construction (NACE 45)","1999","1999","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"45","All construction (NACE 45)","1999","1999","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","1999","1999","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","42.11"
"45","All construction (NACE 45)","2000","2000","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","41.11"
"45","All construction (NACE 45)","2000","2000","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"45","All construction (NACE 45)","2000","2000","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2000","2000","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","42.81"
"45","All construction (NACE 45)","2001","2001","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","43.43"
"45","All construction (NACE 45)","2001","2001","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"45","All construction (NACE 45)","2001","2001","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2001","2001","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","45.25"
"45","All construction (NACE 45)","2002","2002","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","54.46"
"45","All construction (NACE 45)","2002","2002","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"45","All construction (NACE 45)","2002","2002","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2002","2002","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","56.6"
"45","All construction (NACE 45)","2003","2003","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","43.31"
"45","All construction (NACE 45)","2003","2003","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2003","2003","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2003","2003","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","44.82"
"45","All construction (NACE 45)","2004","2004","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","42.88"
"45","All construction (NACE 45)","2004","2004","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2004","2004","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2004","2004","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","44.4"
"45","All construction (NACE 45)","2005","2005","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","40.92"
"45","All construction (NACE 45)","2005","2005","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2005","2005","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2005","2005","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","42.43"
"45","All construction (NACE 45)","2006","2006","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","37.29"
"45","All construction (NACE 45)","2006","2006","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2006","2006","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2006","2006","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","38.63"
"45","All construction (NACE 45)","2007","2007","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","36.21"
"45","All construction (NACE 45)","2007","2007","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2007","2007","EAA01C3","Methane (CH4) Emissions","000 Tonnes",""
"45","All construction (NACE 45)","2007","2007","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","37.36"
"80000","Agriculture, forestry and fishing (NACE A - B)","1994","1994","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1306.3"
"80000","Agriculture, forestry and fishing (NACE A - B)","1994","1994","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","26.5"
"80000","Agriculture, forestry and fishing (NACE A - B)","1994","1994","EAA01C3","Methane (CH4) Emissions","000 Tonnes","562.6"
"80000","Agriculture, forestry and fishing (NACE A - B)","1994","1994","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21341.8"
"80000","Agriculture, forestry and fishing (NACE A - B)","1995","1995","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1333.8"
"80000","Agriculture, forestry and fishing (NACE A - B)","1995","1995","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.1"
"80000","Agriculture, forestry and fishing (NACE A - B)","1995","1995","EAA01C3","Methane (CH4) Emissions","000 Tonnes","563.6"
"80000","Agriculture, forestry and fishing (NACE A - B)","1995","1995","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21585.8"
"80000","Agriculture, forestry and fishing (NACE A - B)","1996","1996","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1261.6"
"80000","Agriculture, forestry and fishing (NACE A - B)","1996","1996","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.2"
"80000","Agriculture, forestry and fishing (NACE A - B)","1996","1996","EAA01C3","Methane (CH4) Emissions","000 Tonnes","579.9"
"80000","Agriculture, forestry and fishing (NACE A - B)","1996","1996","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21883.2"
"80000","Agriculture, forestry and fishing (NACE A - B)","1997","1997","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1295.4"
"80000","Agriculture, forestry and fishing (NACE A - B)","1997","1997","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","25.67"
"80000","Agriculture, forestry and fishing (NACE A - B)","1997","1997","EAA01C3","Methane (CH4) Emissions","000 Tonnes","586.52"
"80000","Agriculture, forestry and fishing (NACE A - B)","1997","1997","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21570.4"
"80000","Agriculture, forestry and fishing (NACE A - B)","1998","1998","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","950.1"
"80000","Agriculture, forestry and fishing (NACE A - B)","1998","1998","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","29.34"
"80000","Agriculture, forestry and fishing (NACE A - B)","1998","1998","EAA01C3","Methane (CH4) Emissions","000 Tonnes","607.68"
"80000","Agriculture, forestry and fishing (NACE A - B)","1998","1998","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","23310.79"
"80000","Agriculture, forestry and fishing (NACE A - B)","1999","1999","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","941.84"
"80000","Agriculture, forestry and fishing (NACE A - B)","1999","1999","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","29.31"
"80000","Agriculture, forestry and fishing (NACE A - B)","1999","1999","EAA01C3","Methane (CH4) Emissions","000 Tonnes","591.16"
"80000","Agriculture, forestry and fishing (NACE A - B)","1999","1999","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","23032.81"
"80000","Agriculture, forestry and fishing (NACE A - B)","2000","2000","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1136.87"
"80000","Agriculture, forestry and fishing (NACE A - B)","2000","2000","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.73"
"80000","Agriculture, forestry and fishing (NACE A - B)","2000","2000","EAA01C3","Methane (CH4) Emissions","000 Tonnes","562.63"
"80000","Agriculture, forestry and fishing (NACE A - B)","2000","2000","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","22021.35"
"80000","Agriculture, forestry and fishing (NACE A - B)","2001","2001","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1022.71"
"80000","Agriculture, forestry and fishing (NACE A - B)","2001","2001","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","25.94"
"80000","Agriculture, forestry and fishing (NACE A - B)","2001","2001","EAA01C3","Methane (CH4) Emissions","000 Tonnes","558.1"
"80000","Agriculture, forestry and fishing (NACE A - B)","2001","2001","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21408.11"
"80000","Agriculture, forestry and fishing (NACE A - B)","2002","2002","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","736.47"
"80000","Agriculture, forestry and fishing (NACE A - B)","2002","2002","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","24.81"
"80000","Agriculture, forestry and fishing (NACE A - B)","2002","2002","EAA01C3","Methane (CH4) Emissions","000 Tonnes","554.8"
"80000","Agriculture, forestry and fishing (NACE A - B)","2002","2002","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","20815.37"
"80000","Agriculture, forestry and fishing (NACE A - B)","2003","2003","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","496.98"
"80000","Agriculture, forestry and fishing (NACE A - B)","2003","2003","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","24.64"
"80000","Agriculture, forestry and fishing (NACE A - B)","2003","2003","EAA01C3","Methane (CH4) Emissions","000 Tonnes","549.33"
"80000","Agriculture, forestry and fishing (NACE A - B)","2003","2003","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","20730"
"80000","Agriculture, forestry and fishing (NACE A - B)","2004","2004","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","729.95"
"80000","Agriculture, forestry and fishing (NACE A - B)","2004","2004","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","24.03"
"80000","Agriculture, forestry and fishing (NACE A - B)","2004","2004","EAA01C3","Methane (CH4) Emissions","000 Tonnes","547.86"
"80000","Agriculture, forestry and fishing (NACE A - B)","2004","2004","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","20351.42"
"80000","Agriculture, forestry and fishing (NACE A - B)","2005","2005","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","607.14"
"80000","Agriculture, forestry and fishing (NACE A - B)","2005","2005","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","23.68"
"80000","Agriculture, forestry and fishing (NACE A - B)","2005","2005","EAA01C3","Methane (CH4) Emissions","000 Tonnes","544.65"
"80000","Agriculture, forestry and fishing (NACE A - B)","2005","2005","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","20197.35"
"80000","Agriculture, forestry and fishing (NACE A - B)","2006","2006","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","426.35"
"80000","Agriculture, forestry and fishing (NACE A - B)","2006","2006","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","23.11"
"80000","Agriculture, forestry and fishing (NACE A - B)","2006","2006","EAA01C3","Methane (CH4) Emissions","000 Tonnes","542.32"
"80000","Agriculture, forestry and fishing (NACE A - B)","2006","2006","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","19936.07"
"80000","Agriculture, forestry and fishing (NACE A - B)","2007","2007","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","-93.96"
"80000","Agriculture, forestry and fishing (NACE A - B)","2007","2007","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","22.08"
"80000","Agriculture, forestry and fishing (NACE A - B)","2007","2007","EAA01C3","Methane (CH4) Emissions","000 Tonnes","524.4"
"80000","Agriculture, forestry and fishing (NACE A - B)","2007","2007","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","19282.07"
"800091","Agriculture, industry and services (NACE 1 - 93)","1994","1994","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","34079.6"
"800091","Agriculture, industry and services (NACE 1 - 93)","1994","1994","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.1"
"800091","Agriculture, industry and services (NACE 1 - 93)","1994","1994","EAA01C3","Methane (CH4) Emissions","000 Tonnes","646.9"
"800091","Agriculture, industry and services (NACE 1 - 93)","1994","1994","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57628.3"
"800091","Agriculture, industry and services (NACE 1 - 93)","1995","1995","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","34901.7"
"800091","Agriculture, industry and services (NACE 1 - 93)","1995","1995","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.8"
"800091","Agriculture, industry and services (NACE 1 - 93)","1995","1995","EAA01C3","Methane (CH4) Emissions","000 Tonnes","650.4"
"800091","Agriculture, industry and services (NACE 1 - 93)","1995","1995","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","58722.1"
"800091","Agriculture, industry and services (NACE 1 - 93)","1996","1996","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","36287.6"
"800091","Agriculture, industry and services (NACE 1 - 93)","1996","1996","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","33.1"
"800091","Agriculture, industry and services (NACE 1 - 93)","1996","1996","EAA01C3","Methane (CH4) Emissions","000 Tonnes","669.6"
"800091","Agriculture, industry and services (NACE 1 - 93)","1996","1996","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","60596.4"
"800091","Agriculture, industry and services (NACE 1 - 93)","1997","1997","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","38764.5"
"800091","Agriculture, industry and services (NACE 1 - 93)","1997","1997","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","31.62"
"800091","Agriculture, industry and services (NACE 1 - 93)","1997","1997","EAA01C3","Methane (CH4) Emissions","000 Tonnes","671.56"
"800091","Agriculture, industry and services (NACE 1 - 93)","1997","1997","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","62669.5"
"800091","Agriculture, industry and services (NACE 1 - 93)","1998","1998","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","29750.05"
"800091","Agriculture, industry and services (NACE 1 - 93)","1998","1998","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.68"
"800091","Agriculture, industry and services (NACE 1 - 93)","1998","1998","EAA01C3","Methane (CH4) Emissions","000 Tonnes","680.79"
"800091","Agriculture, industry and services (NACE 1 - 93)","1998","1998","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","54679.23"
"800091","Agriculture, industry and services (NACE 1 - 93)","1999","1999","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","31301.66"
"800091","Agriculture, industry and services (NACE 1 - 93)","1999","1999","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.81"
"800091","Agriculture, industry and services (NACE 1 - 93)","1999","1999","EAA01C3","Methane (CH4) Emissions","000 Tonnes","665.97"
"800091","Agriculture, industry and services (NACE 1 - 93)","1999","1999","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","56042.09"
"800091","Agriculture, industry and services (NACE 1 - 93)","2000","2000","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","33737.23"
"800091","Agriculture, industry and services (NACE 1 - 93)","2000","2000","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","31.29"
"800091","Agriculture, industry and services (NACE 1 - 93)","2000","2000","EAA01C3","Methane (CH4) Emissions","000 Tonnes","641.93"
"800091","Agriculture, industry and services (NACE 1 - 93)","2000","2000","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57391.65"
"800091","Agriculture, industry and services (NACE 1 - 93)","2001","2001","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","35508.66"
"800091","Agriculture, industry and services (NACE 1 - 93)","2001","2001","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","29.58"
"800091","Agriculture, industry and services (NACE 1 - 93)","2001","2001","EAA01C3","Methane (CH4) Emissions","000 Tonnes","630.04"
"800091","Agriculture, industry and services (NACE 1 - 93)","2001","2001","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","58527.96"
"800091","Agriculture, industry and services (NACE 1 - 93)","2002","2002","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","34549.81"
"800091","Agriculture, industry and services (NACE 1 - 93)","2002","2002","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","28.14"
"800091","Agriculture, industry and services (NACE 1 - 93)","2002","2002","EAA01C3","Methane (CH4) Emissions","000 Tonnes","633.68"
"800091","Agriculture, industry and services (NACE 1 - 93)","2002","2002","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57321.12"
"800091","Agriculture, industry and services (NACE 1 - 93)","2003","2003","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","33448.74"
"800091","Agriculture, industry and services (NACE 1 - 93)","2003","2003","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.73"
"800091","Agriculture, industry and services (NACE 1 - 93)","2003","2003","EAA01C3","Methane (CH4) Emissions","000 Tonnes","661.57"
"800091","Agriculture, industry and services (NACE 1 - 93)","2003","2003","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","56994.33"
"800091","Agriculture, industry and services (NACE 1 - 93)","2004","2004","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","34138.41"
"800091","Agriculture, industry and services (NACE 1 - 93)","2004","2004","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.14"
"800091","Agriculture, industry and services (NACE 1 - 93)","2004","2004","EAA01C3","Methane (CH4) Emissions","000 Tonnes","633.15"
"800091","Agriculture, industry and services (NACE 1 - 93)","2004","2004","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","56506.61"
"800091","Agriculture, industry and services (NACE 1 - 93)","2005","2005","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","35646.73"
"800091","Agriculture, industry and services (NACE 1 - 93)","2005","2005","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","26.88"
"800091","Agriculture, industry and services (NACE 1 - 93)","2005","2005","EAA01C3","Methane (CH4) Emissions","000 Tonnes","628.53"
"800091","Agriculture, industry and services (NACE 1 - 93)","2005","2005","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57991.32"
"800091","Agriculture, industry and services (NACE 1 - 93)","2006","2006","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","35222.1"
"800091","Agriculture, industry and services (NACE 1 - 93)","2006","2006","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","26.18"
"800091","Agriculture, industry and services (NACE 1 - 93)","2006","2006","EAA01C3","Methane (CH4) Emissions","000 Tonnes","629.73"
"800091","Agriculture, industry and services (NACE 1 - 93)","2006","2006","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57513.69"
"800091","Agriculture, industry and services (NACE 1 - 93)","2007","2007","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","35269.59"
"800091","Agriculture, industry and services (NACE 1 - 93)","2007","2007","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","24.97"
"800091","Agriculture, industry and services (NACE 1 - 93)","2007","2007","EAA01C3","Methane (CH4) Emissions","000 Tonnes","615.1"
"800091","Agriculture, industry and services (NACE 1 - 93)","2007","2007","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57446.16"
"80102","Mining and quarrying (NACE 10 - 14)","1994","1994","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","684.7"
"80102","Mining and quarrying (NACE 10 - 14)","1994","1994","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"80102","Mining and quarrying (NACE 10 - 14)","1994","1994","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0"
"80102","Mining and quarrying (NACE 10 - 14)","1994","1994","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","703.6"
"80102","Mining and quarrying (NACE 10 - 14)","1995","1995","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","775.3"
"80102","Mining and quarrying (NACE 10 - 14)","1995","1995","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"80102","Mining and quarrying (NACE 10 - 14)","1995","1995","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0"
"80102","Mining and quarrying (NACE 10 - 14)","1995","1995","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","795.4"
"80102","Mining and quarrying (NACE 10 - 14)","1996","1996","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","811.5"
"80102","Mining and quarrying (NACE 10 - 14)","1996","1996","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"80102","Mining and quarrying (NACE 10 - 14)","1996","1996","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0"
"80102","Mining and quarrying (NACE 10 - 14)","1996","1996","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","832.3"
"80102","Mining and quarrying (NACE 10 - 14)","1997","1997","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","904.2"
"80102","Mining and quarrying (NACE 10 - 14)","1997","1997","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.07"
"80102","Mining and quarrying (NACE 10 - 14)","1997","1997","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.04"
"80102","Mining and quarrying (NACE 10 - 14)","1997","1997","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","926"
"80102","Mining and quarrying (NACE 10 - 14)","1998","1998","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","869.99"
"80102","Mining and quarrying (NACE 10 - 14)","1998","1998","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.09"
"80102","Mining and quarrying (NACE 10 - 14)","1998","1998","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.1"
"80102","Mining and quarrying (NACE 10 - 14)","1998","1998","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","901.4"
